"county","mean_PF","min_PF","max_PF","mean_IE","min_IE","max_IE","mean_SPF","min_SPF","max_SPF","mean_SFS","min_SFS","max_SFS","mean_SF","min_SF","max_SF","mean_SS","min_SS","max_SS","mean_TF","min_TF","max_TF","mean_IF","min_IF","max_IF","area_uncert"
"Adams",3865.82908283822,3865.82908283822,3865.82908283822,3232.87846255286,3196.33416070487,3255.48882634807,3197.85766948886,3154.37783511969,3231.32719759377,3197.85766948886,3154.37783511969,3231.32719759377,2846.94811678525,2742.37616204224,2941.17453477373,2846.94811678525,2742.37616204224,2941.17453477373,767.48631017056,562.17911736394,1069.50894503796,767.48631017056,562.17911736394,1069.50894503796,1.08830320946147
"Alexander",4890.38726492038,4890.38726492038,4890.38726492038,4855.0674026044,4847.18768621637,4857.22954495406,4834.2519704417,4817.51507859426,4841.61179335869,4834.2519704417,4817.51507859426,4841.61179335869,2725.62437735634,2612.56129906208,2859.89598826236,2725.62437735634,2612.56129906208,2859.89598826236,1118.24185956268,816.137306271508,1465.22538161503,1118.24185956268,816.137306271508,1465.22538161503,1.38395643827357
"Bond",2934.05719636594,2934.05719636594,2934.05719636594,2626.42292841934,2592.75518786681,2647.43206301207,2611.78878732338,2572.42444125163,2635.03723150622,2611.78878732338,2572.42444125163,2635.03723150622,2520.32504523183,2463.33078241667,2566.97604091256,2520.32504523183,2463.33078241667,2566.97604091256,259.780151072621,74.8333295756129,522.392311177865,259.780151072621,74.8333295756129,522.392311177865,1.06108418449944
"Boone",1088.96074537756,1088.70419326598,1089.5227143603,1080.49249116368,1075.55977605976,1082.8684825355,1066.66392625898,1058.77827264353,1070.73761128925,1066.66392625898,1058.77827264353,1070.73761128925,595.51353601985,530.279464685277,659.351261349375,576.418053477026,507.328015771905,642.378642239155,156.919665522075,48.5627880371527,271.325083203744,156.919665522075,48.5627880371527,271.325083203744,1.6169533105934
"Brown",1054.82602514262,1054.82602514262,1054.82602514262,862.756403192261,839.606978756065,875.35452190144,852.380948573429,827.846007579809,867.055792367344,852.380948573429,827.846007579809,867.055792367344,839.468215777278,808.926445805104,856.963590853796,839.468215777278,808.926445805104,856.963590853796,302.602658136408,236.070817887126,402.013924838515,302.602658136408,236.070817887126,402.013924838515,0.89607128997697
"Bureau",3483.69915651368,3483.69915651368,3483.69915651368,3370.95249464331,3367.45926037446,3377.27606986973,3224.03399381224,3204.99920849178,3252.62414415295,3224.03399381224,3204.99920849178,3252.62414415295,1632.16381871768,1529.65499151592,1768.74626962046,1632.16381871768,1529.65499151592,1768.74626962046,264.482266797114,104.073640999758,500.273826664499,264.482266797114,104.073640999758,500.273826664499,1.97236138480619
"Calhoun",5657.67329597613,5657.67329597613,5657.67329597613,5450.40623563739,5428.93066915128,5460.52326858865,5365.66234378898,5336.23645606756,5385.56613497586,5365.66234378898,5336.23645606756,5385.56613497586,4400.32255175644,4254.39688918344,4511.91500696371,4400.32255175644,4254.39688918344,4511.91500696371,905.317462008758,661.668802486751,1089.03023855373,905.317462008758,661.668802486751,1089.03023855373,1.08000169943688
"Carroll",1116.30325996465,1116.30325996465,1116.30325996465,1045.55571120487,1041.36690543477,1048.87008459257,919.213989426046,905.083383547141,927.072887840247,919.213989426046,905.083383547141,927.072887840247,353.546739832045,296.022327632676,390.452861293974,353.546739832045,296.022327632676,390.452861293974,113.563065455205,34.0649201708999,179.770497668625,113.563065455205,34.0649201708999,179.770497668625,2.83623091811229
"Cass",3068.7980696887,3068.7980696887,3068.7980696887,2933.25169615746,2921.61327220431,2947.4422940671,2596.16782316277,2571.75648544466,2625.21388864709,2596.16782316277,2571.75648544466,2625.21388864709,1762.45095494879,1712.52138747958,1817.19894182685,1762.45095494879,1712.52138747958,1817.19894182685,643.865462810234,571.02536165914,739.470204999629,642.50316939116,569.663068240065,738.107911580554,1.37665952830332
"Champaign",1618.65698027004,1618.55900506835,1618.67657531038,1571.7707103074,1566.17165084016,1576.05346331514,1558.90032300326,1546.26778078197,1573.41529677552,1558.90032300326,1546.26778078197,1573.41529677552,1046.86787105856,1002.75666624875,1102.16800846422,1046.86787105856,1002.75666624875,1102.16800846422,221.430487936513,115.541591104399,380.06542675523,190.424228936775,83.8537375026331,352.121974370194,1.36429132158683
"Christian",2989.53052159578,2989.53052159578,2989.53052159578,2812.67940615648,2798.84202108453,2825.67125669284,2788.55447830502,2767.14273999251,2809.20647557123,2788.55447830502,2767.14273999251,2809.20647557123,2605.61861709125,2510.6826042598,2688.64685085803,2605.61861709125,2510.6826042598,2688.64685085803,267.444128822201,91.3991388665623,491.189710391305,267.444128822201,91.3991388665623,491.189710391305,1.04469870414587
