"county","wetland_type","water_cutoff","mean","min","max"
"Adams","Freshwater Emergent Wetland","Intermittently Exposed",212.826313006934,212.826313006934,212.826313006934
"Adams","Freshwater Emergent Wetland","Intermittently Flooded",105.735412438256,71.2777044028329,134.803595286758
"Adams","Freshwater Emergent Wetland","Permanently Flooded",212.826313006934,212.826313006934,212.826313006934
"Adams","Freshwater Emergent Wetland","Seasonally Flooded",167.36784937005,148.198550573811,184.623716774399
"Adams","Freshwater Emergent Wetland","Seasonally Flooded/Saturated",199.925242418781,199.025165195765,200.531052515869
"Adams","Freshwater Emergent Wetland","Seasonally Saturated",167.36784937005,148.198550573811,184.623716774399
"Adams","Freshwater Emergent Wetland","Semipermanently Flooded",199.925242418781,199.025165195765,200.531052515869
"Adams","Freshwater Emergent Wetland","Temporary Flooded",105.735412438256,71.2777044028329,134.803595286758
"Adams","Freshwater Forested/Shrub Wetland","Intermittently Exposed",2867.11912254549,2866.53943711993,2868.27849339661
"Adams","Freshwater Forested/Shrub Wetland","Intermittently Flooded",529.526102838219,400.230108261257,771.889212006313
"Adams","Freshwater Forested/Shrub Wetland","Permanently Flooded",2868.27849339661,2868.27849339661,2868.27849339661
"Adams","Freshwater Forested/Shrub Wetland","Seasonally Flooded",2547.35547252112,2503.50630676858,2593.73468025444
"Adams","Freshwater Forested/Shrub Wetland","Seasonally Flooded/Saturated",2865.70763217599,2864.68136522408,2867.98000733301
"Adams","Freshwater Forested/Shrub Wetland","Seasonally Saturated",2547.35547252112,2503.50630676858,2593.73468025444
"Adams","Freshwater Forested/Shrub Wetland","Semipermanently Flooded",2865.70763217599,2864.68136522408,2867.98000733301
"Adams","Freshwater Forested/Shrub Wetland","Temporary Flooded",529.526102838219,400.230108261257,771.889212006313
"Adams","Freshwater Pond","Intermittently Exposed",152.933027000433,116.96841057801,174.384019944522
"Adams","Freshwater Pond","Intermittently Flooded",132.224794894085,90.6713046998504,162.816137744888
"Adams","Freshwater Pond","Permanently Flooded",784.724276434678,784.724276434678,784.724276434678
"Adams","Freshwater Pond","Seasonally Flooded",132.224794894085,90.6713046998504,162.816137744888
"Adams","Freshwater Pond","Seasonally Flooded/Saturated",132.224794894085,90.6713046998504,162.816137744888
"Adams","Freshwater Pond","Seasonally Saturated",132.224794894085,90.6713046998504,162.816137744888
"Adams","Freshwater Pond","Semipermanently Flooded",132.224794894085,90.6713046998504,162.816137744888
"Adams","Freshwater Pond","Temporary Flooded",132.224794894085,90.6713046998504,162.816137744888
"Alexander","Freshwater Emergent Wetland","Intermittently Exposed",176.487190356168,176.487190356168,176.487190356168
"Alexander","Freshwater Emergent Wetland","Intermittently Flooded",146.349858444881,119.244414122278,163.320179512728
"Alexander","Freshwater Emergent Wetland","Permanently Flooded",176.487190356168,176.487190356168,176.487190356168
"Alexander","Freshwater Emergent Wetland","Seasonally Flooded",149.203478782769,128.831309987253,163.692925504933
"Alexander","Freshwater Emergent Wetland","Seasonally Flooded/Saturated",172.47596667658,172.235032079073,172.716901274087
"Alexander","Freshwater Emergent Wetland","Seasonally Saturated",149.203478782769,128.831309987253,163.692925504933
"Alexander","Freshwater Emergent Wetland","Semipermanently Flooded",172.47596667658,172.235032079073,172.716901274087
"Alexander","Freshwater Emergent Wetland","Temporary Flooded",146.349858444881,119.244414122278,163.320179512728
"Alexander","Freshwater Forested/Shrub Wetland","Intermittently Exposed",4636.01335803722,4636.01335803722,4636.01335803722
"Alexander","Freshwater Forested/Shrub Wetland","Intermittently Flooded",933.856247326712,670.70908218021,1259.22304575911
"Alexander","Freshwater Forested/Shrub Wetland","Permanently Flooded",4636.01335803722,4636.01335803722,4636.01335803722
"Alexander","Freshwater Forested/Shrub Wetland","Seasonally Flooded",2538.38514478249,2457.5461791058,2653.52090641424
"Alexander","Freshwater Forested/Shrub Wetland","Seasonally Flooded/Saturated",4623.74024997404,4619.09623654617,4626.21273574141
"Alexander","Freshwater Forested/Shrub Wetland","Seasonally Saturated",2538.38514478249,2457.5461791058,2653.52090641424
"Alexander","Freshwater Forested/Shrub Wetland","Semipermanently Flooded",4623.74024997404,4619.09623654617,4626.21273574141
"Alexander","Freshwater Forested/Shrub Wetland","Temporary Flooded",933.856247326712,670.70908218021,1259.22304575911
"Alexander","Freshwater Pond","Intermittently Exposed",42.5668542110031,34.6871378229769,44.7289965606641
"Alexander","Freshwater Pond","Intermittently Flooded",38.0357537910843,26.1838099690204,42.6821563431928
"Alexander","Freshwater Pond","Permanently Flooded",77.8867165269909,77.8867165269909,77.8867165269909
"Alexander","Freshwater Pond","Seasonally Flooded",38.0357537910843,26.1838099690204,42.6821563431928
"Alexander","Freshwater Pond","Seasonally Flooded/Saturated",38.0357537910843,26.1838099690204,42.6821563431928
"Alexander","Freshwater Pond","Seasonally Saturated",38.0357537910843,26.1838099690204,42.6821563431928
"Alexander","Freshwater Pond","Semipermanently Flooded",38.0357537910843,26.1838099690204,42.6821563431928
"Alexander","Freshwater Pond","Temporary Flooded",38.0357537910843,26.1838099690204,42.6821563431928
"Bond","Freshwater Emergent Wetland","Intermittently Exposed",93.9417825822643,93.9417825822643,93.9417825822643
"Bond","Freshwater Emergent Wetland","Intermittently Flooded",36.6502024941765,23.2341741047673,53.1901288826638
"Bond","Freshwater Emergent Wetland","Permanently Flooded",93.9417825822643,93.9417825822643,93.9417825822643
