"JD.ID","Agency","Project.ID","District.or.Region","JD.Basis","PDF.Link","Finalized.Date","Closure.Method","Waters.Names","Resource.Types","Resource.Type.Description","Water.of.the.U.S.","Cowardin.Code","Cowardin.Category","Cowardin.Description","HGM","HGM.Description","Longitude","Latitude","State","County","HUC8","Authority","Local.Waterway","Similarly.Situated..a..8.","Similarly.Situated..a..7.","Normal.Farming","OHWM..Changes.in.plant.community","OHWM..Presence.of.bed.and.banks","OHWM..Break.in.slope","OHWM..Change.in.the.character.of.soil","OHWM..Change.in.vegetation.density.maturity","OHWM..Change.in.sediment.texture","OHWM..Natural.line.impressed.on.the.bank","OHWM..Destruction.of.terrestrial.vegetation","OHWM..Leaf.litter.disturbed","OHWM..Multiple.flow.events.observed","OHWM..Scour.marks","OHWM..Sediment.deposition","OHWM..Sediment.sorting","OHWM..Shelving","OHWM..Litter.and.debris","OHWM..Wrack.lines","OHWM..Matted..bent..or.absent.vegetation","OHWM..Water.staining","OHWM.Other","OHWM.Other.Text","Function.Present..Sediment.Trapping","Function.Present..Nutrient.Recycling","Function.Present..Pollutant.trapping..transformation..filtering..and.transport","Function.Present..Retention.and.attenuation.of.flood.waters","Function.Present..Runoff.storage","Function.Present..Contribution.of.flow","Function.Present..Export.of.organic.matter","Function.Present..Export.of.food.resources","Function.Present..Provision.of.life.cycle.dependent.aquatic.habitat"
5335128,"Corps","LRC-2024-00627","Chicago","AMENDED_2023RULE","https://permits.ops.usace.army.mil/orm-public/f?p=340:11:0::NO","05/06/2025","Approved JD That Did Require A Field/Site Visit","LRC-2024-627_Area 1","A4-2.ADJ.WET.A2&amp;A3-404","(a)(4)(ii) Adjacent Wetland, adjacent to a relatively permanent paragraph (a)(2) Impoundment or (a)(3) Tributary (Section 404 Only)","Yes","PEM","Palustrine","Emergent, Palustrine","","",-87.95805,41.55034,"Illinois","Will",7120004,"Multiple","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
5335128,"Corps","LRC-2024-00627","Chicago","AMENDED_2023RULE","https://permits.ops.usace.army.mil/orm-public/f?p=340:11:0::NO","05/06/2025","Approved JD That Did Require A Field/Site Visit","LRC-2024-627_Area 8","A4-2.ADJ.WET.A2&amp;A3-404","(a)(4)(ii) Adjacent Wetland, adjacent to a relatively permanent paragraph (a)(2) Impoundment or (a)(3) Tributary (Section 404 Only)","Yes","PEM","Palustrine","Emergent, Palustrine","","",-87.97156,41.55547,"Illinois","Will",7120004,"Multiple","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
5335128,"Corps","LRC-2024-00627","Chicago","AMENDED_2023RULE","https://permits.ops.usace.army.mil/orm-public/f?p=340:11:0::NO","05/06/2025","Approved JD That Did Require A Field/Site Visit","LRC-2024-627_Area 2","NON-WOTUS-WET.NEGATIVE.A4","NON-WOTUS - Wetland that does not have a continuous surface connection to a paragraph (a)(1) water or to a relatively permanent paragraph (a)(2) impoundment or paragraph (a)(3) tributary","No","PEM","Palustrine","Emergent, Palustrine","","",-87.96229,41.55372,"Illinois","Will",7120004,"Multiple","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
5335128,"Corps","LRC-2024-00627","Chicago","AMENDED_2023RULE","https://permits.ops.usace.army.mil/orm-public/f?p=340:11:0::NO","05/06/2025","Approved JD That Did Require A Field/Site Visit","LRC-2024-627_Area 10","B3-EXCL-DITCH","(b)(3) Ditches (including roadside ditches) excavated wholly in and draining only dry land and that do not carry a relatively permanent flow of water (Excluded)","No","R6","Riverine","A wetland, spring, stream, river, pond or lake that only exists for a short period","","",-87.96998,41.55524,"Illinois","Will",7120004,"Multiple","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
5335128,"Corps","LRC-2024-00627","Chicago","AMENDED_2023RULE","https://permits.ops.usace.army.mil/orm-public/f?p=340:11:0::NO","05/06/2025","Approved JD That Did Require A Field/Site Visit","LRC-2024-627_Area 5","A3.TRIB-404","(a)(3) Tributary (Section 404 Only)","Yes","R3","Riverine","Upper Perennial, Riverine","","",-87.9621,41.5596,"Illinois","Will",7120004,"Multiple","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
5335128,"Corps","LRC-2024-00627","Chicago","AMENDED_2023RULE","https://permits.ops.usace.army.mil/orm-public/f?p=340:11:0::NO","05/06/2025","Approved JD That Did Require A Field/Site Visit","LRC-2024-627_Area 7","A4-2.ADJ.WET.A2&amp;A3-404","(a)(4)(ii) Adjacent Wetland, adjacent to a relatively permanent paragraph (a)(2) Impoundment or (a)(3) Tributary (Section 404 Only)","Yes","PEM","Palustrine","Emergent, Palustrine","","",-87.97103,41.55505,"Illinois","Will",7120004,"Multiple","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
5335128,"Corps","LRC-2024-00627","Chicago","AMENDED_2023RULE","https://permits.ops.usace.army.mil/orm-public/f?p=340:11:0::NO","05/06/2025","Approved JD That Did Require A Field/Site Visit","LRC-2024-627_Area 4","A3.TRIB-404","(a)(3) Tributary (Section 404 Only)","Yes","R3","Riverine","Upper Perennial, Riverine","","",-87.96541,41.5619,"Illinois","Will",7120004,"Multiple","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
5335128,"Corps","LRC-2024-00627","Chicago","AMENDED_2023RULE","https://permits.ops.usace.army.mil/orm-public/f?p=340:11:0::NO","05/06/2025","Approved JD That Did Require A Field/Site Visit","LRC-2024-627_Area 3","A3.TRIB-404","(a)(3) Tributary (Section 404 Only)","Yes","R3","Riverine","Upper Perennial, Riverine","","",-87.96338,41.56033,"Illinois","Will",7120004,"Multiple","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
5335128,"Corps","LRC-2024-00627","Chicago","AMENDED_2023RULE","https://permits.ops.usace.army.mil/orm-public/f?p=340:11:0::NO","05/06/2025","Approved JD That Did Require A Field/Site Visit","LRC-2024-627_Area 9","NON-WOTUS-WET.NEGATIVE.A4","NON-WOTUS - Wetland that does not have a continuous surface connection to a paragraph (a)(1) water or to a relatively permanent paragraph (a)(2) impoundment or paragraph (a)(3) tributary","No","PEM","Palustrine","Emergent, Palustrine","","",-87.97537,41.55496,"Illinois","Will",7120004,"Multiple","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
5335128,"Corps","LRC-2024-00627","Chicago","AMENDED_2023RULE","https://permits.ops.usace.army.mil/orm-public/f?p=340:11:0::NO","05/06/2025","Approved JD That Did Require A Field/Site Visit","LRC-2024-627_Area 6","A3.TRIB-404","(a)(3) Tributary (Section 404 Only)","Yes","R3","Riverine","Upper Perennial, Riverine","","",-87.96465,41.56168,"Illinois","Will",7120004,"Multiple","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
